n,dx,exact,left,mid,right,error_left,error_mid,error_right,perc_error_left,perc_error_mid,perc_error_right
1,31.0,-352655702.5860001,15620.428800000003,-16783207.797675002,-2888238026.6496005,352671323.0148001,335872494.7883251,2535582324.0636005,100.00442937082414,95.24090843431571,718.996546906898
2,15.5,-352655702.5860001,-8383793.684437501,-182195726.48821753,-1452510617.2236378,344271908.9015626,170459976.09778255,1099854914.6376376,97.62266890256993,48.336089519554406,311.8778192362911
3,10.333333333333334,-352655702.5860001,-51144586.69464585,-266559689.2078297,-1013895802.3874462,301511115.8913542,86096013.37817037,661240099.8014461,85.49730336994237,24.413617232568257,187.503022055965
4,7.75,-352655702.5860001,-95289760.08632752,-302058179.06865597,-817353171.8559277,257365942.49967256,50597523.51734412,464697469.2699276,72.97937921106217,14.347569923388717,131.77086485836836
5,6.2,-352655702.5860001,-130930119.1973425,-319615900.2581745,-708580848.6130227,221725583.38865757,33039802.327825606,355925146.0270226,62.87310307553772,9.368855256145583,100.92709218000671
6,5.166666666666667,-352655702.5860001,-158852137.95123777,-329460644.90292954,-640227745.7976379,193803564.63476232,23195057.68307054,287572043.21163785,54.95546030125532,6.5772529730790605,81.54470241169838
7,4.428571428571429,-352655702.5860001,-180925362.66065758,-335502662.8188868,-593533026.5290012,171730339.9253425,17153039.76711327,240877323.94300115,48.6963173049679,4.863962114133191,68.30382216327831
8,3.875,-352655702.5860001,-198673969.57749176,-339467151.2896413,-559705675.4622918,153981733.00850832,13188551.296358764,207049972.87629175,43.663474567225435,3.7397810951724364,58.711647467489826
9,3.4444444444444446,-352655702.5860001,-213197031.72092754,-342204839.3450551,-534114103.618527,139458670.86507255,10450863.240944982,181458401.0325269,39.54527598516958,2.963474903229841,51.454832490132695
10,3.1,-352655702.5860001,-225273009.72775874,-344172928.82749635,-514098374.4355992,127382692.85824135,8482773.758503735,161442671.84959912,36.12097916584158,2.4053981535815634,45.77911846193074
10,3.1,-352655702.5860001,-225273009.72775874,-344172928.82749635,-514098374.4355992,127382692.85824135,8482773.758503735,161442671.84959912,36.12097916584158,2.4053981535815634,45.77911846193074
15,2.066666666666667,-352655702.5860001,-263970669.07926515,-348867035.64886606,-456520912.2178252,88685033.50673494,3788666.9371340275,103865209.63182509,25.147766747117277,1.0743245917624449,29.452298338064185
20,1.55,-352655702.5860001,-284722969.2776277,-350520917.7833625,-429135651.631548,67932733.30837238,2134784.802637577,76479949.0455479,19.263188659711528,0.6053453232099598,21.686860154174646
30,1.0333333333333334,-352655702.5860001,-306418852.36406696,-351705746.3400676,-402693973.93334746,46236850.22193313,949956.2459324598,50038271.34734738,13.111045669439477,0.2693721493701919,14.188986873151396
50,0.62,-352655702.5860001,-324457667.0767351,-352313503.83314466,-382222740.0183033,28198035.509265006,342198.7528554201,29567037.43230319,7.995910828179084,0.0970347991953909,8.38410869737541
75,0.41333333333333333,-352655702.5860001,-333704934.9804908,-352503584.450485,-372214983.6082031,18950767.60550928,152118.1355150938,19559281.02220303,5.373730657563341,0.043135027847167065,5.5462823594730395
100,0.31,-352655702.5860001,-338385585.4549353,-352570130.26716524,-367268121.92571896,14270117.131064773,85572.31883484125,14612419.339718878,4.04647281368853,0.02426511699863218,4.143536949088589
200,0.155,-352655702.5860001,-345477857.8610595,-352634308.09171945,-359919126.09645176,7177844.724940598,21394.49428063631,7263423.510451674,2.03536896534097,0.006066680369479906,2.059635916047717
300,0.10333333333333333,-352655702.5860001,-347860964.1484718,-352646193.80542773,-357488476.30539924,4794738.437528312,9508.780572354794,4832773.719399154,1.3596089336905157,0.002696335406638134,1.370394320568406
400,0.0775,-352655702.5860001,-349056082.9763961,-352650353.8740272,-356276717.09409237,3599619.609604001,5348.711972892284,3621014.508092284,1.0207178228533489,0.0015166951600868912,1.0267846178410367
500,0.062,-352655702.5860001,-349774295.31420535,-352652279.4035543,-355550802.60836244,2881407.2717947364,3423.1824457645416,2895100.0223623514,0.8170595996791131,0.0009706868258935216,0.8209423528764122
700,0.04428571428571428,-352655702.5860001,-350596157.3186853,-352653956.0612928,-354722233.9573685,2059545.2673147917,1746.5247072577477,2066531.3713684082,0.5840101981088885,0.0004952492457801197,0.5859911965735065
1000,0.031,-352655702.5860001,-351213287.3588319,-352654846.78808856,-354101541.00591,1442415.2271682024,855.7979115247726,1445838.4199098945,0.4090151432661007,0.00024267235869128594,0.40998583301153524
5000,0.0062,-352655702.5860001,-352366945.6851009,-352655668.3539751,-352944596.4145165,288756.90089917183,34.23202496767044,288893.8285164237,0.08188068384595436,9.706925116097472e-06,0.08191951140956606
10000,0.0031,-352655702.5860001,-352511307.01952803,-352655694.02792335,-352800132.38423574,144395.56647205353,8.558076739311218,144429.79823565483,0.04094519538836626,2.426751269455003e-06,0.0409549022393686
1000000,3.1e-05,-352655702.5860001,-352654258.4520717,-352655702.5763299,-352657146.70571864,1444.1339283585548,0.0096701979637146,1444.1197185516357,0.00040950250280055587,2.7421073564963508e-09,0.00040949847342946816
